"Date","station_name","pm25_value","measurement_quality","Latitude","Longitude","Altitude..m."
"2014-01-02","Stoke-on-Trent Centre",6,"V",53.02821,-2.175133,172
"2014-01-02","Storrington Roadside",4,"V",50.916932,-0.449548,41
"2014-01-02","Sunderland Silksworth",5,"V",54.88361,-1.406878,110
"2014-01-02","Swansea Roadside",5,"V",51.632696,-3.947374,61
"2014-01-02","Warrington",6,"V",53.38928,-2.615358,11
"2014-01-02","Wigan Centre",7,"V",53.54914,-2.638139,45
"2014-01-02","Wirral Tranmere",7,"V",53.37287,-3.022722,38
"2014-01-02","York Bootham",6,"V",53.967513,-1.086514,15
"2014-01-02","York Fishergate",6,"V",53.951889,-1.075861,16
"2014-01-03","Aberdeen",8,"V",57.15736,-2.094278,20
"2014-01-03","Auchencorth Moss",4,"V",55.79216,-3.2429,260
"2014-01-03","Barnstaple A39",7,"V",51.074793,-4.041924,13
"2014-01-03","Belfast Centre",6,"V",54.59965,-5.928833,10
"2014-01-03","Birmingham Acocks Green",4,"V",52.437165,-1.829999,134
"2014-01-03","Birmingham Tyburn",3,"V",52.511722,-1.830583,93
"2014-01-03","Bristol St Paul's",7,"V",51.462839,-2.584482,15
"2014-01-03","Camden Kerbside",6,"V",51.54421,-0.175269,50
"2014-01-03","Cardiff Centre",7,"V",51.48178,-3.17625,12
"2014-01-03","Carlisle Roadside",7,"V",54.894834,-2.945307,11
"2014-01-03","Chatham Roadside",6,"V",51.374264,0.54797,80
"2014-01-03","Chepstow A48",7,"V",51.638094,-2.678731,67
"2014-01-03","Chesterfield",4,"V",53.230583,-1.433611,86
"2014-01-03","Chesterfield Roadside",3,"V",53.231722,-1.456944,96
"2014-01-03","Coventry Memorial Park",4,"V",52.394399,-1.519612,95
"2014-01-03","Derry",10,"V",55.001225,-7.329115,32
"2014-01-03","Eastbourne",7,"V",50.805778,0.271611,7
"2014-01-03","Edinburgh St Leonards",6,"V",55.945589,-3.182186,81
"2014-01-03","Glasgow Townhead",5,"V",55.865782,-4.243631,40
"2014-01-03","Grangemouth",3,"V",56.010319,-3.704399,4
"2014-01-03","Haringey Roadside",7,"V",51.5993,-0.068218,10
"2014-01-03","Harwell",3,"V",51.571078,-1.325283,126
"2014-01-03","Hull Freetown",6,"V",53.74878,-0.341222,4
"2014-01-03","Leamington Spa",6,"V",52.28881,-1.533119,55
"2014-01-03","Leamington Spa Rugby Road",5,"V",52.294884,-1.542911,66
"2014-01-03","Leeds Centre",5,"V",53.80378,-1.546472,78
"2014-01-03","Leeds Headingley Kerbside",5,"V",53.819972,-1.576361,85
"2014-01-03","Leicester University",7,"V",52.619823,-1.127311,83
"2014-01-03","Liverpool Speke",5,"V",53.34633,-2.844333,26
"2014-01-03","London Bloomsbury",8,"V",51.52229,-0.125889,20
"2014-01-03","London Eltham",7,"V",51.45258,0.070766,60
"2014-01-03","London Harrow Stanmore",6,"V",51.617333,-0.298777,79
"2014-01-03","London Marylebone Road",10,"V",51.52253,-0.154611,35
"2014-01-03","London N. Kensington",8,"V",51.52105,-0.213492,5
"2014-01-03","Manchester Piccadilly",4,"V",53.48152,-2.237881,57
"2014-01-03","Middlesbrough",4,"V",54.569297,-1.220874,10
"2014-01-03","Newcastle Centre",4,"V",54.97825,-1.610528,45
"2014-01-03","Newport",12,"V",51.601203,-2.977281,24
"2014-01-03","Norwich Lakenfields",5,"V",52.614193,1.301976,36
"2014-01-03","Nottingham Centre",3,"V",52.95473,-1.146447,41
"2014-01-03","Oxford St Ebbes",7,"V",51.744806,-1.260278,58
"2014-01-03","Port Talbot Margam",25,"V",51.58395,-3.770822,5
"2014-01-03","Portsmouth",12,"V",50.82881,-1.068583,5
"2014-01-03","Preston",5,"V",53.76559,-2.680353,40
"2014-01-03","Reading New Town",2,"V",51.45309,-0.944067,58
"2014-01-03","Salford Eccles",8,"V",53.48481,-2.334139,30
"2014-01-03","Saltash Callington Road",10,"V",50.411463,-4.227678,65
"2014-01-03","Sandy Roadside",6,"V",52.132417,-0.300306,22
"2014-01-03","Sheffield Devonshire Green",3,"V",53.378622,-1.478096,89
"2014-01-03","Southampton Centre",10,"V",50.90814,-1.395778,7
"2014-01-03","Southend-on-Sea",5,"V",51.544206,0.678408,37
"2014-01-03","Stanford-le-Hope Roadside",8,"V",51.518167,0.439548,18
"2014-01-03","Stockton-on-Tees Eaglescliffe",4,"V",54.516667,-1.358547,29
"2014-01-03","Stoke-on-Trent Centre",6,"V",53.02821,-2.175133,172
"2014-01-03","Storrington Roadside",5,"V",50.916932,-0.449548,41
"2014-01-03","Sunderland Silksworth",6,"V",54.88361,-1.406878,110
"2014-01-03","Swansea Roadside",10,"V",51.632696,-3.947374,61
"2014-01-03","Warrington",7,"V",53.38928,-2.615358,11
"2014-01-03","Wigan Centre",7,"V",53.54914,-2.638139,45
"2014-01-03","Wirral Tranmere",6,"V",53.37287,-3.022722,38
"2014-01-03","York Bootham",6,"V",53.967513,-1.086514,15
"2014-01-03","York Fishergate",6,"V",53.951889,-1.075861,16
"2014-01-04","Aberdeen",9,"V",57.15736,-2.094278,20
"2014-01-04","Auchencorth Moss",3,"V",55.79216,-3.2429,260
"2014-01-04","Barnstaple A39",4,"V",51.074793,-4.041924,13
"2014-01-04","Belfast Centre",9,"V",54.59965,-5.928833,10
"2014-01-04","Birmingham Acocks Green",7,"V",52.437165,-1.829999,134
"2014-01-04","Birmingham Tyburn",6,"V",52.511722,-1.830583,93
"2014-01-04","Bristol St Paul's",8,"V",51.462839,-2.584482,15
"2014-01-04","Camden Kerbside",6,"V",51.54421,-0.175269,50
"2014-01-04","Cardiff Centre",10,"V",51.48178,-3.17625,12
"2014-01-04","Carlisle Roadside",10,"V",54.894834,-2.945307,11
"2014-01-04","Chatham Roadside",6,"V",51.374264,0.54797,80
"2014-01-04","Chepstow A48",10,"V",51.638094,-2.678731,67
"2014-01-04","Chesterfield",7,"V",53.230583,-1.433611,86
"2014-01-04","Chesterfield Roadside",8,"V",53.231722,-1.456944,96
"2014-01-04","Coventry Memorial Park",5,"V",52.394399,-1.519612,95
"2014-01-04","Derry",23,"V",55.001225,-7.329115,32
"2014-01-04","Eastbourne",5,"V",50.805778,0.271611,7
"2014-01-04","Edinburgh St Leonards",7,"V",55.945589,-3.182186,81
"2014-01-04","Glasgow Townhead",3,"V",55.865782,-4.243631,40
"2014-01-04","Grangemouth",4,"V",56.010319,-3.704399,4
"2014-01-04","Haringey Roadside",7,"V",51.5993,-0.068218,10
"2014-01-04","Harwell",2,"V",51.571078,-1.325283,126
"2014-01-04","Hull Freetown",9,"V",53.74878,-0.341222,4
"2014-01-04","Leamington Spa",8,"V",52.28881,-1.533119,55
"2014-01-04","Leamington Spa Rugby Road",10,"V",52.294884,-1.542911,66
"2014-01-04","Leeds Centre",11,"V",53.80378,-1.546472,78
"2014-01-04","Leeds Headingley Kerbside",13,"V",53.819972,-1.576361,85
"2014-01-04","Leicester University",8,"V",52.619823,-1.127311,83
"2014-01-04","Liverpool Speke",7,"V",53.34633,-2.844333,26
"2014-01-04","London Bloomsbury",6,"V",51.52229,-0.125889,20
"2014-01-04","London Eltham",6,"V",51.45258,0.070766,60
"2014-01-04","London Harrow Stanmore",6,"V",51.617333,-0.298777,79
"2014-01-04","London Marylebone Road",11,"V",51.52253,-0.154611,35
"2014-01-04","London N. Kensington",7,"V",51.52105,-0.213492,5
"2014-01-04","Manchester Piccadilly",8,"V",53.48152,-2.237881,57
"2014-01-04","Middlesbrough",7,"V",54.569297,-1.220874,10
"2014-01-04","Newcastle Centre",9,"V",54.97825,-1.610528,45
"2014-01-04","Newport",11,"V",51.601203,-2.977281,24
"2014-01-04","Norwich Lakenfields",7,"V",52.614193,1.301976,36
"2014-01-04","Nottingham Centre",7,"V",52.95473,-1.146447,41
"2014-01-04","Oxford St Ebbes",7,"V",51.744806,-1.260278,58
"2014-01-04","Port Talbot Margam",11,"V",51.58395,-3.770822,5
"2014-01-04","Portsmouth",9,"V",50.82881,-1.068583,5
"2014-01-04","Preston",8,"V",53.76559,-2.680353,40
"2014-01-04","Reading New Town",2,"V",51.45309,-0.944067,58
"2014-01-04","Salford Eccles",11,"V",53.48481,-2.334139,30
"2014-01-04","Saltash Callington Road",7,"V",50.411463,-4.227678,65
"2014-01-04","Sandy Roadside",5,"V",52.132417,-0.300306,22
"2014-01-04","Sheffield Devonshire Green",6,"V",53.378622,-1.478096,89
"2014-01-04","Southampton Centre",8,"V",50.90814,-1.395778,7
"2014-01-04","Southend-on-Sea",5,"V",51.544206,0.678408,37
"2014-01-04","Stanford-le-Hope Roadside",8,"V",51.518167,0.439548,18
"2014-01-04","Stockton-on-Tees Eaglescliffe",7,"V",54.516667,-1.358547,29
"2014-01-04","Stoke-on-Trent Centre",7,"V",53.02821,-2.175133,172
"2014-01-04","Storrington Roadside",5,"V",50.916932,-0.449548,41
"2014-01-04","Sunderland Silksworth",12,"V",54.88361,-1.406878,110
"2014-01-04","Swansea Roadside",7,"V",51.632696,-3.947374,61
"2014-01-04","Warrington",8,"V",53.38928,-2.615358,11
"2014-01-04","Wigan Centre",12,"V",53.54914,-2.638139,45
"2014-01-04","Wirral Tranmere",9,"V",53.37287,-3.022722,38
"2014-01-04","York Bootham",13,"V",53.967513,-1.086514,15
"2014-01-04","York Fishergate",15,"V",53.951889,-1.075861,16
"2014-01-05","Aberdeen",8,"V",57.15736,-2.094278,20
"2014-01-05","Auchencorth Moss",2,"V",55.79216,-3.2429,260
"2014-01-05","Barnstaple A39",3,"V",51.074793,-4.041924,13
"2014-01-05","Belfast Centre",5,"V",54.59965,-5.928833,10
"2014-01-05","Birmingham Acocks Green",4,"V",52.437165,-1.829999,134
"2014-01-05","Birmingham Tyburn",3,"V",52.511722,-1.830583,93
"2014-01-05","Bristol St Paul's",4,"V",51.462839,-2.584482,15
"2014-01-05","Camden Kerbside",5,"V",51.54421,-0.175269,50
"2014-01-05","Cardiff Centre",4,"V",51.48178,-3.17625,12
"2014-01-05","Carlisle Roadside",7,"V",54.894834,-2.945307,11
"2014-01-05","Chatham Roadside",4,"V",51.374264,0.54797,80
"2014-01-05","Chepstow A48",6,"V",51.638094,-2.678731,67
"2014-01-05","Chesterfield",5,"V",53.230583,-1.433611,86
"2014-01-05","Chesterfield Roadside",3,"V",53.231722,-1.456944,96
"2014-01-05","Coventry Memorial Park",5,"V",52.394399,-1.519612,95
"2014-01-05","Derry",12,"V",55.001225,-7.329115,32
"2014-01-05","Eastbourne",5,"V",50.805778,0.271611,7
"2014-01-05","Edinburgh St Leonards",5,"V",55.945589,-3.182186,81
"2014-01-05","Glasgow Townhead",3,"V",55.865782,-4.243631,40
"2014-01-05","Grangemouth",3,"V",56.010319,-3.704399,4
"2014-01-05","Haringey Roadside",7,"V",51.5993,-0.068218,10
"2014-01-05","Harwell",2,"V",51.571078,-1.325283,126
"2014-01-05","Hull Freetown",8,"V",53.74878,-0.341222,4
"2014-01-05","Leamington Spa",4,"V",52.28881,-1.533119,55
"2014-01-05","Leamington Spa Rugby Road",5,"V",52.294884,-1.542911,66
"2014-01-05","Leeds Centre",7,"V",53.80378,-1.546472,78
"2014-01-05","Leeds Headingley Kerbside",7,"V",53.819972,-1.576361,85
"2014-01-05","Leicester University",7,"V",52.619823,-1.127311,83
"2014-01-05","Liverpool Speke",5,"V",53.34633,-2.844333,26
"2014-01-05","London Bloomsbury",6,"V",51.52229,-0.125889,20
"2014-01-05","London Eltham",4,"V",51.45258,0.070766,60
"2014-01-05","London Harrow Stanmore",6,"V",51.617333,-0.298777,79
"2014-01-05","London Marylebone Road",9,"V",51.52253,-0.154611,35
"2014-01-05","London N. Kensington",6,"V",51.52105,-0.213492,5
"2014-01-05","Manchester Piccadilly",2,"V",53.48152,-2.237881,57
"2014-01-05","Middlesbrough",4,"V",54.569297,-1.220874,10
"2014-01-05","Newcastle Centre",5,"V",54.97825,-1.610528,45
"2014-01-05","Newport",5,"V",51.601203,-2.977281,24
"2014-01-05","Norwich Lakenfields",5,"V",52.614193,1.301976,36
"2014-01-05","Nottingham Centre",3,"V",52.95473,-1.146447,41
"2014-01-05","Oxford St Ebbes",6,"V",51.744806,-1.260278,58
"2014-01-05","Port Talbot Margam",13,"V",51.58395,-3.770822,5
"2014-01-05","Portsmouth",10,"V",50.82881,-1.068583,5
"2014-01-05","Preston",4,"V",53.76559,-2.680353,40
"2014-01-05","Reading New Town",1,"V",51.45309,-0.944067,58
"2014-01-05","Salford Eccles",7,"V",53.48481,-2.334139,30
"2014-01-05","Saltash Callington Road",5,"V",50.411463,-4.227678,65
"2014-01-05","Sandy Roadside",4,"V",52.132417,-0.300306,22
"2014-01-05","Sheffield Devonshire Green",4,"V",53.378622,-1.478096,89
"2014-01-05","Southampton Centre",10,"V",50.90814,-1.395778,7
"2014-01-05","Southend-on-Sea",3,"V",51.544206,0.678408,37
"2014-01-05","Stanford-le-Hope Roadside",5,"V",51.518167,0.439548,18
"2014-01-05","Stockton-on-Tees Eaglescliffe",3,"V",54.516667,-1.358547,29
"2014-01-05","Stoke-on-Trent Centre",5,"V",53.02821,-2.175133,172
"2014-01-05","Storrington Roadside",5,"V",50.916932,-0.449548,41
"2014-01-05","Sunderland Silksworth",5,"V",54.88361,-1.406878,110
"2014-01-05","Swansea Roadside",7,"V",51.632696,-3.947374,61
"2014-01-05","Warrington",6,"V",53.38928,-2.615358,11
"2014-01-05","Wigan Centre",6,"V",53.54914,-2.638139,45
"2014-01-05","Wirral Tranmere",5,"V",53.37287,-3.022722,38
"2014-01-05","York Bootham",8,"V",53.967513,-1.086514,15
"2014-01-05","York Fishergate",7,"V",53.951889,-1.075861,16
"2014-01-06","Aberdeen",9,"V",57.15736,-2.094278,20
"2014-01-06","Auchencorth Moss",5,"V",55.79216,-3.2429,260
"2014-01-06","Barnstaple A39",8,"V",51.074793,-4.041924,13
"2014-01-06","Belfast Centre",7,"V",54.59965,-5.928833,10
"2014-01-06","Birmingham Acocks Green",7,"V",52.437165,-1.829999,134
"2014-01-06","Birmingham Tyburn",6,"V",52.511722,-1.830583,93
"2014-01-06","Bristol St Paul's",8,"V",51.462839,-2.584482,15
"2014-01-06","Camden Kerbside",7,"V",51.54421,-0.175269,50
"2014-01-06","Cardiff Centre",8,"V",51.48178,-3.17625,12
"2014-01-06","Carlisle Roadside",9,"V",54.894834,-2.945307,11
"2014-01-06","Chatham Roadside",6,"V",51.374264,0.54797,80
"2014-01-06","Chepstow A48",9,"V",51.638094,-2.678731,67
"2014-01-06","Chesterfield",6,"V",53.230583,-1.433611,86
"2014-01-06","Chesterfield Roadside",5,"V",53.231722,-1.456944,96
"2014-01-06","Coventry Memorial Park",13,"V",52.394399,-1.519612,95
"2014-01-06","Eastbourne",7,"V",50.805778,0.271611,7
"2014-01-06","Edinburgh St Leonards",7,"V",55.945589,-3.182186,81
"2014-01-06","Glasgow Townhead",6,"V",55.865782,-4.243631,40
"2014-01-06","Grangemouth",5,"V",56.010319,-3.704399,4
"2014-01-06","Haringey Roadside",8,"V",51.5993,-0.068218,10
"2014-01-06","Harwell",5,"V",51.571078,-1.325283,126
"2014-01-06","Hull Freetown",7,"V",53.74878,-0.341222,4
"2014-01-06","Leamington Spa",7,"V",52.28881,-1.533119,55
"2014-01-06","Leamington Spa Rugby Road",7,"V",52.294884,-1.542911,66
"2014-01-06","Leeds Centre",6,"V",53.80378,-1.546472,78
"2014-01-06","Leeds Headingley Kerbside",6,"V",53.819972,-1.576361,85
"2014-01-06","Leicester University",9,"V",52.619823,-1.127311,83
"2014-01-06","Liverpool Speke",7,"V",53.34633,-2.844333,26
"2014-01-06","London Bloomsbury",8,"V",51.52229,-0.125889,20
"2014-01-06","London Eltham",9,"V",51.45258,0.070766,60
"2014-01-06","London Harrow Stanmore",8,"V",51.617333,-0.298777,79
"2014-01-06","London Marylebone Road",11,"V",51.52253,-0.154611,35
"2014-01-06","London N. Kensington",9,"V",51.52105,-0.213492,5
"2014-01-06","Manchester Piccadilly",4,"V",53.48152,-2.237881,57
"2014-01-06","Middlesbrough",7,"V",54.569297,-1.220874,10
"2014-01-06","Newcastle Centre",6,"V",54.97825,-1.610528,45
"2014-01-06","Newport",10,"V",51.601203,-2.977281,24
"2014-01-06","Norwich Lakenfields",6,"V",52.614193,1.301976,36
"2014-01-06","Nottingham Centre",6,"V",52.95473,-1.146447,41
"2014-01-06","Oxford St Ebbes",10,"V",51.744806,-1.260278,58
"2014-01-06","Port Talbot Margam",33,"V",51.58395,-3.770822,5
"2014-01-06","Portsmouth",13,"V",50.82881,-1.068583,5
"2014-01-06","Preston",7,"V",53.76559,-2.680353,40
"2014-01-06","Reading New Town",5,"V",51.45309,-0.944067,58
"2014-01-06","Salford Eccles",10,"V",53.48481,-2.334139,30
"2014-01-06","Saltash Callington Road",13,"V",50.411463,-4.227678,65
"2014-01-06","Sandy Roadside",7,"V",52.132417,-0.300306,22
"2014-01-06","Sheffield Devonshire Green",4,"V",53.378622,-1.478096,89
"2014-01-06","Southampton Centre",12,"V",50.90814,-1.395778,7
"2014-01-06","Southend-on-Sea",5,"V",51.544206,0.678408,37
"2014-01-06","Stanford-le-Hope Roadside",9,"V",51.518167,0.439548,18
"2014-01-06","Stockton-on-Tees Eaglescliffe",6,"V",54.516667,-1.358547,29
"2014-01-06","Stoke-on-Trent Centre",7,"V",53.02821,-2.175133,172
"2014-01-06","Storrington Roadside",7,"V",50.916932,-0.449548,41
"2014-01-06","Sunderland Silksworth",7,"V",54.88361,-1.406878,110
"2014-01-06","Swansea Roadside",13,"V",51.632696,-3.947374,61
"2014-01-06","Warrington",8,"V",53.38928,-2.615358,11
"2014-01-06","Wigan Centre",9,"V",53.54914,-2.638139,45
"2014-01-06","York Bootham",7,"V",53.967513,-1.086514,15
"2014-01-06","York Fishergate",6,"V",53.951889,-1.075861,16
"2014-01-07","Aberdeen",6,"V",57.15736,-2.094278,20
"2014-01-07","Auchencorth Moss",4,"V",55.79216,-3.2429,260
"2014-01-07","Barnstaple A39",6,"V",51.074793,-4.041924,13
"2014-01-07","Belfast Centre",5,"V",54.59965,-5.928833,10
"2014-01-07","Birmingham Acocks Green",5,"V",52.437165,-1.829999,134
"2014-01-07","Birmingham Tyburn",4,"V",52.511722,-1.830583,93
"2014-01-07","Bristol St Paul's",6,"V",51.462839,-2.584482,15
"2014-01-07","Camden Kerbside",8,"V",51.54421,-0.175269,50
"2014-01-07","Cardiff Centre",8,"V",51.48178,-3.17625,12
"2014-01-07","Carlisle Roadside",8,"V",54.894834,-2.945307,11
"2014-01-07","Chatham Roadside",8,"V",51.374264,0.54797,80
"2014-01-07","Chepstow A48",8,"V",51.638094,-2.678731,67
"2014-01-07","Chesterfield",5,"V",53.230583,-1.433611,86
"2014-01-07","Chesterfield Roadside",3,"V",53.231722,-1.456944,96
"2014-01-07","Derry",11,"V",55.001225,-7.329115,32
"2014-01-07","Eastbourne",10,"V",50.805778,0.271611,7
"2014-01-07","Edinburgh St Leonards",6,"V",55.945589,-3.182186,81
"2014-01-07","Glasgow Kerbside",11,"V",55.85917,-4.258889,10
"2014-01-07","Glasgow Townhead",4,"V",55.865782,-4.243631,40
"2014-01-07","Grangemouth",3,"V",56.010319,-3.704399,4
"2014-01-07","Haringey Roadside",8,"V",51.5993,-0.068218,10
